Unnamed: 0,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yields_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2309,2016,michigan,cherries,produce,cherries,33700.0,33700.0,71975000.0,136110.0,0.5,0.0,4.0388724035608305,528.8002351039601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310,2016,new york,cherries,produce,cherries,1600.0,1600.0,2400000.0,3950.0,0.5,0.0,2.46875,607.5949367088608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2311,2016,oregon,cherries,produce,cherries,13000.0,13000.0,79235000.0,62080.0,0.5,0.0,4.775384615384615,1276.3369845360826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2312,2016,utah,cherries,produce,cherries,3300.0,3300.0,17533000.0,26400.0,0.5,0.0,8.0,664.1287878787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2313,2016,washington,cherries,produce,cherries,41300.0,41300.0,500647000.0,224550.0,0.5,0.0,5.437046004842615,2229.5568915608997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,2016,wisconsin,cherries,produce,cherries,1700.0,1700.0,4076000.0,6800.0,0.5,0.0,4.0,599.4117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2315,2016,arizona,chili peppers,produce,chili peppers,1600.0,1600.0,4439000.0,6080.0,0.5,0.0,3.8,730.0986842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2316,2016,california,chili peppers,produce,chili peppers,5700.0,5600.0,82921000.0,127400.0,0.5,100.0,22.75,650.8712715855573,1137.5,318.50000000000006,318.50000000000006,47.775000000000006,0.7166250000000001,0.14787499999999998,451.8605
2317,2016,new mexico,chili peppers,produce,chili peppers,9200.0,8700.0,51028000.0,69600.0,0.5,500.0,8.0,733.1609195402299,2000.0,560.0,560.0,84.0,1.26,0.25999999999999995,794.48
2318,2016,texas,chili peppers,produce,chili peppers,2600.0,2300.0,6576000.0,5750.0,0.5,300.0,2.5,1143.6521739130435,375.0,105.00000000000001,105.00000000000001,15.750000000000002,0.23625000000000002,0.048749999999999995,148.965
2319,2016,massachusetts,cranberries,produce,cranberries,12900.0,12900.0,68911000.0,113400.0,0.5,0.0,8.790697674418604,607.6807760141094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,2016,new jersey,cranberries,produce,cranberries,3100.0,3100.0,27835000.0,32650.0,0.5,0.0,10.53225806451613,852.5267993874426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2321,2016,oregon,cranberries,produce,cranberries,2800.0,2800.0,10457000.0,20050.0,0.5,0.0,7.160714285714286,521.5461346633416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2322,2016,washington,cranberries,produce,cranberries,1600.0,1600.0,7742000.0,8770.0,0.5,0.0,5.48125,882.7822120866591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2323,2016,wisconsin,cranberries,produce,cranberries,21100.0,21100.0,177347000.0,306500.0,0.5,0.0,14.5260663507109,578.6199021207178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2324,2016,alabama,cucumbers,produce,cucumbers,3600.0,3500.0,4442000.0,16450.0,0.5,100.0,4.7,270.0303951367781,235.0,65.80000000000001,65.80000000000001,9.870000000000001,0.14805000000000001,0.030549999999999997,93.3514
2325,2016,california,cucumbers,produce,cucumbers,8400.0,8400.0,34289000.0,75600.0,0.5,0.0,9.0,453.55820105820106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326,2016,delaware,cucumbers,produce,cucumbers,2700.0,2600.0,3620000.0,11570.0,0.5,100.0,4.45,312.8781331028522,222.5,62.300000000000004,62.300000000000004,9.345,0.140175,0.028924999999999996,88.38589999999999
2327,2016,florida,cucumbers,produce,cucumbers,24300.0,21700.0,118167000.0,195300.0,0.5,2600.0,9.0,605.0537634408602,11700.0,3276.0000000000005,3276.0000000000005,491.40000000000003,7.371,1.521,4647.708
2328,2016,georgia,cucumbers,produce,cucumbers,8900.0,8200.0,41924000.0,96350.0,0.5,700.0,11.75,435.1219512195122,4112.5,1151.5,1151.5,172.72500000000002,2.590875,0.5346249999999999,1633.6495
